grid index,gp_index,lat [deg],lon [deg],event type,start time [s],duration [s],severity,measurements,id
1,1499,53.9896,74.9021,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",ff6f32f2-105e-4eb3-94fe-f9b15eeea0fb
1,1088,-27.9854,25.0937,high_flow_river,0,86400,2.2,"['VNIR', 'Altimeter']",c87f720f-264c-4eb0-aa79-e1b8c27a6d96
1,1824,40.8562,107.9479,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",f82b7b28-a665-417a-9122-4c7574547b95
1,1874,65.4646,54.0437,high_flow_river,0,8176,12.8,"['VNIR', 'Altimeter']",053eca61-4804-4072-9c66-1a6db7d9c895
1,1239,16.5604,97.6562,high_flow_river,0,65147,100.0,"['VNIR', 'Altimeter']",cbfeb40e-5f2d-48cb-9640-8df71b497262
1,1151,37.7687,119.0896,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",795ef971-a5f2-43e2-bcc5-eac7f25872fd
1,1166,42.4396,-80.0271,high_flow_river,0,38999,37.0,"['VNIR', 'Altimeter']",7b224888-b2b2-4e7b-8e3b-0a0d23ceedc1
1,1844,17.9812,-102.1563,high_flow_river,0,16028,90.8,"['VNIR', 'Altimeter']",70aeceed-ee99-4083-852d-c10e2ee88ede
1,1952,62.7854,-137.9188,high_flow_river,0,86400,27.4,"['VNIR', 'Altimeter']",727b71a2-a89b-4b3e-b32f-bf2dee11d957
1,1161,36.0479,-111.9771,high_flow_river,0,39888,100.0,"['VNIR', 'Altimeter']",82ad5642-3158-45a0-8001-695d2fc38fb5
1,1571,61.3604,-122.0188,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",58ca5330-79b5-47fb-a6a0-3fafc484fed1
1,1914,67.1146,80.0062,high_flow_river,2143,55506,100.0,"['VNIR', 'Altimeter']",c26d2ac3-bf5b-4c8e-8018-ddb222d5e4b8
1,1681,65.0479,-153.9854,high_flow_river,3785,47106,57.7,"['VNIR', 'Altimeter']",572148e8-3cbf-46bd-9b38-f86e7b14c7a8
