grid index,gp_index,lat [deg],lon [deg],event type,start time [s],duration [s],severity,measurements,id
1,1530,59.9896,119.0687,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",2f631627-ad45-433b-a4b9-56aab60dec78
1,1184,45.6229,47.7187,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",63607da2-6112-4c47-8a85-24df55269da1
1,1433,53.9896,-97.9521,high_flow_river,0,86400,61.8,"['VNIR', 'Altimeter']",2af5a434-7616-4dc9-b953-fbe14de16bb8
1,1076,-28.4271,137.2062,high_flow_river,0,46832,1.4,"['VNIR', 'Altimeter']",3341d034-7bf2-4de6-a225-f11b8158254a
1,1670,63.9771,125.9896,high_flow_river,0,53180,100.0,"['VNIR', 'Altimeter']",e80d6ea2-7afc-4344-bc13-ec705a97ce8f
1,1540,61.6062,90.0521,high_flow_river,0,60707,100.0,"['VNIR', 'Altimeter']",f1c2b772-4285-4f4b-a6c2-d9f83b13a7c1
1,1668,63.9479,87.5896,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",b9e5b8fc-789c-44d3-839e-f676ed361f40
1,1388,35.4479,-89.9979,high_flow_river,0,86400,1.1,"['VNIR', 'Altimeter']",4066b3ea-4a41-4cb8-93b0-459f7ea3469a
1,1543,61.6271,96.0062,high_flow_river,0,5097,1.0,"['VNIR', 'Altimeter']",88311fd4-6ed0-47a2-998d-508cb1d91677
1,1179,39.4396,56.1062,high_flow_river,0,38995,0.5,"['VNIR', 'Altimeter']",c053a4c5-e581-4b28-a580-a20c649345d1
1,1529,58.5937,109.9854,high_flow_river,1,56657,100.0,"['VNIR', 'Altimeter']",2c4ab02b-8c74-4ec2-a63b-6940bdeb2594
1,1633,44.2812,-100.0146,high_flow_river,77,86323,8.1,"['VNIR', 'Altimeter']",ee3a69a4-aa6c-4b68-8678-7d2d23c57057
1,1382,53.4271,121.9354,high_flow_river,430,23901,19.9,"['VNIR', 'Altimeter']",29feabd7-12de-41d7-91a0-4240b86220d9
1,1069,-2.4813,-66.0146,high_flow_river,483,85917,100.0,"['VNIR', 'Altimeter']",7f063dcd-c9ea-4439-b735-a0ed2ec6c2e9
1,1673,64.0229,98.2187,high_flow_river,982,57659,100.0,"['VNIR', 'Altimeter']",9d4456a2-01b2-45f3-a0e5-136ad3cdf674
1,1246,49.9979,136.7896,high_flow_river,3132,43627,43.3,"['VNIR', 'Altimeter']",90fab6ec-a7f7-46bd-8e06-89c0034bef53
0,255,35.2478,136.0815,algal_bloom,3399,83001,44.8,"['VNIR', 'TIR', 'Altimeter']",5ad0e688-caae-494a-91d3-a29f0cb5baf4
1,1383,53.4229,123.9896,high_flow_river,3739,53933,52.7,"['VNIR', 'Altimeter']",4397f6bc-cb75-4bfc-a3c9-7744a9f3a6fb
1,1168,44.3771,-92.0021,high_flow_river,4535,35028,17.7,"['VNIR', 'Altimeter']",5a44d6b0-28a7-4a18-b996-a65ea2f09331
1,1245,47.7604,115.7812,high_flow_river,5917,46649,74.4,"['VNIR', 'Altimeter']",6f46cf5e-c33c-4d91-adb4-598239e66eef
1,1244,44.9062,59.7146,high_flow_river,7785,26055,0.4,"['VNIR', 'Altimeter']",20639a07-278d-45e1-9621-7417291e0fcc
1,1596,22.1479,95.9979,high_flow_river,11756,35993,100.0,"['VNIR', 'Altimeter']",ee2638bf-62e1-4920-afb8-4ecbd1100661
1,1379,48.2729,133.9937,high_flow_river,11924,51216,100.0,"['VNIR', 'Altimeter']",8df7aac2-f829-491c-8125-6eee10a3b2f9
0,595,24.8486,102.7208,algal_bloom,12012,74388,70.0,"['VNIR', 'TIR', 'Altimeter']",2fd22768-79e1-4457-8091-d95fcbbbd285
1,1370,45.7729,123.9979,high_flow_river,12631,31175,29.8,"['VNIR', 'Altimeter']",f8bb8c51-9677-4ee2-9953-fd6b5a0c4162
1,1532,58.5604,129.9937,high_flow_river,15059,71341,20.8,"['VNIR', 'Altimeter']",5d11bcb3-90ee-4b0f-aab1-5744962e7a1a
1,1351,37.4229,66.0771,high_flow_river,15527,45556,100.0,"['VNIR', 'Altimeter']",c13fe837-39b5-4bd8-b28a-1e7575e17002
0,209,19.6781,85.2567,algal_bloom,15698,70702,65.8,"['VNIR', 'TIR', 'Altimeter']",a871bb87-3861-4c92-ac51-8fc68558a26f
0,421,30.6752,81.4848,algal_bloom,15698,70702,70.0,"['VNIR', 'TIR', 'Altimeter']",d3642015-d218-48f2-8cc8-a9e481f7eb43
0,412,55.4709,80.0473,algal_bloom,17531,68869,70.0,"['VNIR', 'TIR', 'Altimeter']",411ad166-de96-41ec-84a8-e927727330b8
0,114,54.9561,90.9915,algal_bloom,17531,68869,70.0,"['VNIR', 'TIR', 'Altimeter']",1a8f92b8-13f9-4d6d-9322-9a0374ee7911
0,97,54.8329,76.982,algal_bloom,17531,68869,70.0,"['VNIR', 'TIR', 'Altimeter']",5b380a41-585f-450e-b21e-49e3eddc0080
0,783,54.9804,78.5977,algal_bloom,17531,68869,70.0,"['VNIR', 'TIR', 'Altimeter']",f39d63d4-54cd-4d1e-827b-8131d6164ff6
0,838,52.892,74.2176,algal_bloom,17531,68869,50.3,"['VNIR', 'TIR', 'Altimeter']",34114529-fa8c-4799-97bd-b849db36d12a
0,256,52.9803,79.5686,algal_bloom,17531,68869,61.9,"['VNIR', 'TIR', 'Altimeter']",079e99ee-3cb4-4da0-83b3-564f2478270f
0,880,54.5698,77.9594,algal_bloom,17531,68869,70.0,"['VNIR', 'TIR', 'Altimeter']",415f1c86-11c2-4742-a9ea-c4826119a894
0,174,54.3574,82.0267,algal_bloom,17531,68869,70.0,"['VNIR', 'TIR', 'Altimeter']",f1789559-48e8-4260-84c9-8dfc111ed116
