lat [deg],lon [deg],event_type,start time [s],duration [s],severity,measurements,uuid
59.9896,119.0687,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",2f631627-ad45-433b-a4b9-56aab60dec78
45.6229,47.7187,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",63607da2-6112-4c47-8a85-24df55269da1
53.9896,-97.9521,high_flow_river,0,86400,61.8,"['VNIR', 'Altimeter']",2af5a434-7616-4dc9-b953-fbe14de16bb8
-28.4271,137.2062,high_flow_river,0,46832,1.4,"['VNIR', 'Altimeter']",3341d034-7bf2-4de6-a225-f11b8158254a
63.9771,125.9896,high_flow_river,0,53180,100.0,"['VNIR', 'Altimeter']",e80d6ea2-7afc-4344-bc13-ec705a97ce8f
61.6062,90.0521,high_flow_river,0,60707,100.0,"['VNIR', 'Altimeter']",f1c2b772-4285-4f4b-a6c2-d9f83b13a7c1
63.9479,87.5896,high_flow_river,0,86400,100.0,"['VNIR', 'Altimeter']",b9e5b8fc-789c-44d3-839e-f676ed361f40
35.4479,-89.9979,high_flow_river,0,86400,1.1,"['VNIR', 'Altimeter']",4066b3ea-4a41-4cb8-93b0-459f7ea3469a
61.6271,96.0062,high_flow_river,0,5097,1.0,"['VNIR', 'Altimeter']",88311fd4-6ed0-47a2-998d-508cb1d91677
39.4396,56.1062,high_flow_river,0,38995,0.5,"['VNIR', 'Altimeter']",c053a4c5-e581-4b28-a580-a20c649345d1
58.5937,109.9854,high_flow_river,1,56657,100.0,"['VNIR', 'Altimeter']",2c4ab02b-8c74-4ec2-a63b-6940bdeb2594
44.2812,-100.0146,high_flow_river,77,86323,8.1,"['VNIR', 'Altimeter']",ee3a69a4-aa6c-4b68-8678-7d2d23c57057
53.4271,121.9354,high_flow_river,430,23901,19.9,"['VNIR', 'Altimeter']",29feabd7-12de-41d7-91a0-4240b86220d9
-2.4813,-66.0146,high_flow_river,483,85917,100.0,"['VNIR', 'Altimeter']",7f063dcd-c9ea-4439-b735-a0ed2ec6c2e9
64.0229,98.2187,high_flow_river,982,57659,100.0,"['VNIR', 'Altimeter']",9d4456a2-01b2-45f3-a0e5-136ad3cdf674
49.9979,136.7896,high_flow_river,3132,43627,43.3,"['VNIR', 'Altimeter']",90fab6ec-a7f7-46bd-8e06-89c0034bef53
35.24778615914681,136.08146586693567,algal_bloom,3399,83001,44.8,"['VNIR', 'TIR', 'Altimeter']",5ad0e688-caae-494a-91d3-a29f0cb5baf4
53.4229,123.9896,high_flow_river,3739,53933,52.7,"['VNIR', 'Altimeter']",4397f6bc-cb75-4bfc-a3c9-7744a9f3a6fb
44.3771,-92.0021,high_flow_river,4535,35028,17.7,"['VNIR', 'Altimeter']",5a44d6b0-28a7-4a18-b996-a65ea2f09331
47.7604,115.7812,high_flow_river,5917,46649,74.4,"['VNIR', 'Altimeter']",6f46cf5e-c33c-4d91-adb4-598239e66eef
44.9062,59.7146,high_flow_river,7785,26055,0.4,"['VNIR', 'Altimeter']",20639a07-278d-45e1-9621-7417291e0fcc
22.1479,95.9979,high_flow_river,11756,35993,100.0,"['VNIR', 'Altimeter']",ee2638bf-62e1-4920-afb8-4ecbd1100661
